"FK","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","ID_KETERANGAN_TAMBAHAN","FG_UANG_MUKA","UANG_MUKA_DPP","UANG_MUKA_PPN","UANG_MUKA_PPNBM","REFERENSI"
"OF","02913","Eye Brow Pencil Brown (RMH 701)","38636.0","6","231816.0","46363.2","185452.8","18545.3","0","0","","","","","","","",""
"OF","02919","Mascara Exp Premium Black (RMH 763)","56818.0","6","340908.0","68181.6","272726.4","27272.6","0","0","","","","","","","",""
"OF","02920","Liquid Eye Liner Exp Perfect Black (RMH 771)","45000.0","6","270000.0","54000.0","216000.0","21600.0","0","0","","","","","","","",""
"OF","02921","Liquid Eye Liner Exp Perfect Brush Black (RMH 771A)","45000.0","6","270000.0","54000.0","216000.0","21600.0","0","0","","","","","","","",""
"OF","02924","Lipstick  03 (RMH 802)","35909.0","6","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","02925","Lipstick  04 (RMH 803)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02934","Lipstick  13 (RMH 812)","35909.0","6","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","02935","Lipstick  14 (RMH 813)","35909.0","6","215454.0","43090.8","172363.2","17236.3","0","0","","","","","","","",""
"OF","02950","Liquid Defying Care Found 02 (RMH 773)","47727.0","6","286362.0","57272.4","229089.6","22909.0","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","6","368184.0","73636.8","294547.2","29454.7","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02988","Care Powder Purifying 02 (RMH 524)","49091.0","6","294546.0","58909.2","235636.8","23563.7","0","0","","","","","","","",""
"FK","2","0","0000000000254","7","2019","2019-01-23","NIK : 1377014307750001","ROMA KOSMETIK ( RAHAYULIENSI MEMORY )","Pasar Pariaman
","3591263.2000000007","359126.39999999997","0","","0","0","0","0","19.000139"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02869","Cleansing Aqua Cool Milk (RSH 100)","31818.0","3","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02870","Cleansing Aqua Cool Lotion (RSH 101)","31818.0","3","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02871","Cleansing Aqua Cool Purifying Lotion (RSH 102)","31818.0","3","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02872","Cleansing Aqua Cool Purifying Milk (RSH 108)","35455.0","3","106365.0","21273.0","85092.0","8509.2","0","0","","","","","","","",""
"OF","02873","Cleansing Gentle Foaming Cream (RSH 103)","35455.0","3","106365.0","21273.0","85092.0","8509.2","0","0","","","","","","","",""
"OF","02875","Deep Cleansing Double Action Pelling (RSH 110)","40909.0","2","81818.0","16363.6","65454.4","6545.4","0","0","","","","","","","",""
"OF","02877","Moisturizing Hydra-C Moisturizing Gel (RSH 120)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02882","Oily And Acne Purifying Foamin Gel (RSH 150)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","3","133635.0","26727.0","106908.0","10690.8","0","0","","","","","","","",""
"OF","02886","Whitening Spot Clearness Serum (RSH 161)","50000.0","3","150000.0","30000.0","120000.0","12000.0","0","0","","","","","","","",""
"OF","02887","Sun Screen Total Sun Block Cream (RSH 170)","40909.0","3","122727.0","24545.4","98181.6","9818.2","0","0","","","","","","","",""
"OF","02888","Sun Screen Total Sun Block Gel (RSH 171)","29545.0","3","88635.0","17727.0","70908.0","7090.8","0","0","","","","","","","",""
"OF","02895","True Cover Found 01 (RMH 550)","50000.0","6","300000.0","60000.0","240000.0","24000.0","0","0","","","","","","","",""
"OF","02896","True Cover Found 02 (RMH 551)","50000.0","6","300000.0","60000.0","240000.0","24000.0","0","0","","","","","","","",""
"OF","02912","Eye Brow Pencil Black (RMH 700)","38636.0","12","463632.0","92726.4","370905.6","37090.6","0","0","","","","","","","",""
"OF","02913","Eye Brow Pencil Brown (RMH 701)","38636.0","12","463632.0","92726.4","370905.6","37090.6","0","0","","","","","","","",""
"OF","02919","Mascara Exp Premium Black (RMH 763)","56818.0","12","681816.0","136363.2","545452.8","54545.3","0","0","","","","","","","",""
"OF","02920","Liquid Eye Liner Exp Perfect Black (RMH 771)","45000.0","6","270000.0","54000.0","216000.0","21600.0","0","0","","","","","","","",""
"OF","02921","Liquid Eye Liner Exp Perfect Brush Black (RMH 771A)","45000.0","6","270000.0","54000.0","216000.0","21600.0","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","3","184092.0","36818.4","147273.6","14727.4","0","0","","","","","","","",""
"OF","02982","Refiil UV Lite Powdery Found 02 (RMH 511R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"OF","02985","Refiil UV Lite Powdery Found 05 (RMH 514R)","44091.0","3","132273.0","26454.6","105818.4","10581.8","0","0","","","","","","","",""
"FK","2","0","0000000000255","7","2019","2019-01-23","44.713.907.2-201.000","TOKO PELANGI WINDO ","Jln. Pasar Raya II  No.7 - Pasar Raya Fase VII No.48 - 49 Padang","2982170.3999999994","298217.0","0","","0","0","0","0","19.000140"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02880","Eye Care Eye Lift Gel (RSH 140)","40909.0","6","245454.0","49090.8","196363.2","19636.3","0","0","","","","","","","",""
"OF","02883","Oily And Acne Clear Gel (RSH 151)","47727.0","3","143181.0","28636.2","114544.8","11454.5","0","0","","","","","","","",""
"OF","02886","Whitening Spot Clearness Serum (RSH 161)","50000.0","6","300000.0","60000.0","240000.0","24000.0","0","0","","","","","","","",""
"OF","02896","True Cover Found 02 (RMH 551)","50000.0","9","450000.0","90000.0","360000.0","36000.0","0","0","","","","","","","",""
"OF","02912","Eye Brow Pencil Black (RMH 700)","38636.0","3","115908.0","23181.6","92726.4","9272.6","0","0","","","","","","","",""
"OF","02932","Lipstick  11 (RMH 810)","35909.0","3","107727.0","21545.4","86181.6","8618.2","0","0","","","","","","","",""
"OF","02953","Liquid Matifying Care Found 02 (RMH 776)","47727.0","2","95454.0","19090.8","76363.2","7636.3","0","0","","","","","","","",""
"OF","02957","New Exp Matte Lip Paint 02 (RMH 892)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02958","New Exp Matte Lip Paint 03 (RMH 893)","53636.0","3","160908.0","32181.6","128726.4","12872.6","0","0","","","","","","","",""
"OF","02960","New Exp Matte Lip Paint 05 (RMH 895)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02961","New Exp Matte Lip Paint 06 (RMH 896)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02962","New Exp Matte Lip Paint 07 (RMH 897)","53636.0","5","268180.0","53636.0","214544.0","21454.4","0","0","","","","","","","",""
"OF","02963","New Exp Matte Lip Paint 08 (RMH 898)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02964","New Exp Matte Lip Paint 09 (RMH 899)","53636.0","6","321816.0","64363.2","257452.8","25745.3","0","0","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","61364.0","4","245456.0","49091.2","196364.8","19636.5","0","0","","","","","","","",""
"OF","02989","Care Powder Lightening 01(RMH 526)","49091.0","3","147273.0","29454.6","117818.4","11781.8","0","0","","","","","","","",""
"FK","2","0","0000000000256","7","2019","2019-01-23","07.143.526.7-202.000","TOKO KUE BUDIMAN ( YASMAR )","Jl. Sawahan No. 30 Padang","636774.0","63677.4","0","","0","0","0","0","19.000141"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02173","Bio Placenta Body  Lotion Putih 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","24","119136.0","0.0","119136.0","11913.6","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02188","Nosy HS  Pouch 420ml Aloevera","13882.0","12","166584.0","0.0","166584.0","16658.4","0","0","","","","","","","",""
"FK","2","0","0000000000257","7","2019","2019-01-23","0","RSI IBNU SINA PAYAKUMBUH","Jln. Veteran No. 14 Ibuh, Payakumbuh","7990000.0","799000.0","0","","0","0","0","0","19.000142"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","1","4600000.0","690000.0","3910000.0","391000.0","0","0","","","","","","","",""
"OF","01041","FILM DI-HL 35X43","4800000.0","1","4800000.0","720000.0","4080000.0","408000.0","0","0","","","","","","","",""
"FK","2","0","0000000000258","7","2019","2019-01-23","02.045.601-8.201.000","APT. MIRANTI ADILHA","Jl. Gajah Mada no. 03 gunung pangilun","61810.0","6181.0","0","","0","0","0","0","19.000143"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00304","KERTAS PULVIS/ OBAT","6181.0","10","61810.0","0.0","61810.0","6181.0","0","0","","","","","","","",""
"FK","2","0","0000000000259","7","2019","2019-01-24","NIK 1371030807700005","TOKO ON BARU ( MONDRIAN EM )","Jln. Permindo Padang","370308.0","37030.799999999996","0","","0","0","0","0","19.000144"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02162","BDL Mangosteen Revitlizing Body Scrub 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"OF","02166","BDL Papaya Whitening Body Scrub 200gr","17727.0","3","53181.0","0.0","53181.0","5318.1","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"FK","2","0","0000000000260","7","2019","2019-01-24","07.497.926.0-201.000","SINGGALANG PROKLAMASI ( Ridwan Rahmatika )","Jl. Proklamasi Pdang","700107.0","70010.7","0","","0","0","0","0","19.000145"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","24","204216.0","0.0","204216.0","20421.6","0","0","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","24","119136.0","0.0","119136.0","11913.6","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","1","4545.0","0.0","4545.0","454.5","0","0","","","","","","","",""
"OF","02193","PLC Lightening Beauty Soap Yellow 80gr","5727.0","12","68724.0","0.0","68724.0","6872.4","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"FK","2","0","0000000000261","7","2019","2019-01-24","NIK 137503290370000","BURMA KOSMETIK (IRWAN BUCHARI)","Jl. Permindo Padang","608328.0","60832.8","0","","0","0","0","0","19.000146"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","6709.5","38020.5","3802.0","0","0","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","21","313110.0","46966.5","266143.5","26614.4","0","0","","","","","","","",""
"OF","02173","Bio Placenta Body  Lotion Putih 500ml","14910.0","24","357840.0","53676.0","304164.0","30416.4","0","0","","","","","","","",""
"FK","2","0","0000000000262","7","2019","2019-01-24","70.546.776.9-024.000","PT. MEGA INFRA ADITAMA","Jln. Bambu Apus Raya  No.121 Jakarta Timur ","55000.0","5500.0","0","","0","0","0","0","19.000147"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","01592","Masker Tie On Surgidress","27500.0","2","55000.0","0.0","55000.0","5500.0","0","0","","","","","","","",""
"FK","2","0","0000000000263","7","2019","2019-01-24","151320108201000","ACIAK MART ST.SYAHRIL (Muhammad Alfikri)","St. Syahril  Simp.Ikal Padang","180432.0","18043.199999999997","0","","0","0","0","0","19.000148"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02178","BDL Bengkoang Soap With Vit ACE 128 gr","8509.0","6","51054.0","0.0","51054.0","5105.4","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","6","27270.0","0.0","27270.0","2727.0","0","0","","","","","","","",""
"FK","2","0","0000000000264","7","2019","2019-01-24","857116966205000","ACIAK MART SEBERANG PADANG (Muhammad Alfikri)","Jl.Seberang padang","353433.0","35343.3","0","","0","0","0","0","19.000149"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","24","119136.0","0.0","119136.0","11913.6","0","0","","","","","","","",""
"OF","02207","BDL Facial Wsh 60ml Bengkoang","10027.0","3","30081.0","0.0","30081.0","3008.1","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"FK","2","0","0000000000265","7","2019","2019-01-25","0","RS Ibnu Sina Bukittinggi","Jalan Batang Agam Belakang Balok Bukittinggi, Sumatera Barat","1.241E7","1241000.0","0","","0","0","0","0","19.000150"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00172","FILM DI-HL 20X25","2700000.0","2","5400000.0","810000.0","4590000.0","459000.0","0","0","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","2","9200000.0","1380000.0","7820000.0","782000.0","0","0","","","","","","","",""
"FK","2","0","0000000000266","7","2019","2019-01-25","NIK : 1371025412920005","DEBELLEZA COSMETIK ( WEMPI MUTAQIN )","Jln. Joni Anwar No.13 Ulak Karang, Padang","479997.6","47999.8","0","","0","0","0","0","19.000151"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02885","Whitening White Vitaly Cream (RSH 160)","44545.0","3","133635.0","26727.0","106908.0","10690.8","0","0","","","","","","","",""
"OF","02919","Mascara Exp Premium Black (RMH 763)","56818.0","3","170454.0","34090.8","136363.2","13636.3","0","0","","","","","","","",""
"OF","02920","Liquid Eye Liner Exp Perfect Black (RMH 771)","45000.0","3","135000.0","27000.0","108000.0","10800.0","0","0","","","","","","","",""
"OF","02958","New Exp Matte Lip Paint 03 (RMH 893)","53636.0","1","53636.0","10727.2","42908.8","4290.9","0","0","","","","","","","",""
"OF","02958","New Exp Matte Lip Paint 03 (RMH 893)","53636.0","2","107272.0","21454.4","85817.6","8581.8","0","0","","","","","","","",""
"FK","2","0","0000000000267","7","2019","2019-01-25","NIK : 1371047105880003","SS STORE ( SHINTA YOSIA GUSTI )","Jln. Raya Siteba No.77 Padang","1778086.5","177808.7","0","","0","0","0","0","19.000152"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03032","Brow Wow Light Shade 03 ","59091.0","6","354546.0","63818.3","290727.7","29072.8","0","0","","","","","","","",""
"OF","03051","Lip Matte Full Bloom 710 ","71818.0","6","430908.0","77563.4","353344.6","35334.5","0","0","","","","","","","",""
"OF","03109","Eyelash Fix","40909.0","6","245454.0","44181.7","201272.3","20127.2","0","0","","","","","","","",""
"OF","03235","Highlighter Canggu ( Mizzu )","86365.0","12","1036380.0","103638.0","932742.0","93274.2","0","0","","","","","","","",""
"FK","2","0","0000000000268","7","2019","2019-01-25","NIK : 1371105906930002","YUNO BEAUTY STORE ( YUNITA IDWAN )","Jln.Aru No.1 Lubuk Begalung, Padang","466371.0","46637.1","0","","0","0","0","0","19.000153"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03235","Highlighter Canggu ( Mizzu )","86365.0","6","518190.0","51819.0","466371.0","46637.1","0","0","","","","","","","",""
"FK","2","0","0000000000269","7","2019","2019-01-28","70.546.776.9-024.000","PT. MEGA INFRA ADITAMA","Jln. Bambu Apus Raya  No.121 Jakarta Timur ","120800.0","12080.0","0","","0","0","0","0","19.000154"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","01774","Examination Gloves Lightly Uk. M","45000.0","2","90000.0","0.0","90000.0","9000.0","0","0","","","","","","","",""
"OF","01970","Oneswab/Alkohol Pads","15400.0","2","30800.0","0.0","30800.0","3080.0","0","0","","","","","","","",""
"FK","2","0","0000000000270","7","2019","2019-01-28","15.903.487.5-201.000","ZAGALO SWALAYAN (Donni Andrianto)","Jl. Perintis Kemerdekaan No. 97 Padang","159982.0","15998.2","0","","0","0","0","0","19.000155"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","3","25527.0","0.0","25527.0","2552.7","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","2","31820.0","0.0","31820.0","3182.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","6","29784.0","0.0","29784.0","2978.4","0","0","","","","","","","",""
"OF","02207","BDL Facial Wsh 60ml Bengkoang","10027.0","2","20054.0","0.0","20054.0","2005.4","0","0","","","","","","","",""
"OF","02704","BDL Temulawak Soap With Vit C 128 gr","8509.0","3","25527.0","0.0","25527.0","2552.7","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","6","27270.0","0.0","27270.0","2727.0","0","0","","","","","","","",""
"FK","2","0","0000000000271","7","2019","2019-01-28","NIK : 1371042907590003","TOKO KUBANG","Jln. Kampung Jawa Dalam, Padang
","6543504.0","654350.3999999999","0","","0","0","0","0","19.000156"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03174","IMP Eye Pencil Black ","4455.0","1584","7056720.0","1058508.0","5998212.0","599821.2","0","0","","","","","","","",""
"OF","03175","IMP Eye Pencil Brown","4455.0","144","641520.0","96228.0","545292.0","54529.2","0","0","","","","","","","",""
"FK","2","0","0000000000272","7","2019","2019-01-28","-","RSI SITI RAHMAH","Jl. Raya By Pass KM 15 Air Pacah Padang","1050000.0","105000.0","0","","0","0","0","0","19.000157"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","01472","3M Masker 6210 N95","17500.0","60","1050000.0","0.0","1050000.0","105000.0","0","0","","","","","","","",""
"FK","2","0","0000000000273","7","2019","2019-01-28","0","FIKO MUSLIADI","Padang Koto Marapak (Depan Bengkel Anak Kebun) Kab. Agam Kec.Palembayan Nagari Salareh Aia Tapian Kandis No. Rumah 086 ","1224433.2","0.0","0","","0","0","0","0","MA.190017"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03034","Blush Me Up C.Flush 801 ","65000.0","2","130000.0","26000.0","104000.0","0.0","0","0","","","","","","","",""
"OF","03035","Blush Me Up Rossy Tint 802 ","65000.0","2","130000.0","26000.0","104000.0","0.0","0","0","","","","","","","",""
"OF","03036","Blush Me Up S.Bloom 803 ","65000.0","2","130000.0","26000.0","104000.0","0.0","0","0","","","","","","","",""
"OF","03044","Lip Matte Dolce 702 ","79000.0","1","79000.0","15800.0","63200.0","0.0","0","0","","","","","","","",""
"OF","03047","Lip Matte Amore 706 ","79000.0","1","79000.0","15800.0","63200.0","0.0","0","0","","","","","","","",""
"OF","03049","Lip Matte So Like It 708 ","79000.0","3","237000.0","47400.0","189600.0","0.0","0","0","","","","","","","",""
"OF","03050","Lip Matte Good Vibes 709 ","79000.0","1","79000.0","15800.0","63200.0","0.0","0","0","","","","","","","",""
"OF","03051","Lip Matte Full Bloom 710 ","79000.0","1","79000.0","15800.0","63200.0","0.0","0","0","","","","","","","",""
"OF","03052","Lip Matte Bliss 711 ","79000.0","1","79000.0","15800.0","63200.0","0.0","0","0","","","","","","","",""
"OF","03053","Lip Matte Glee 712 ","79000.0","2","158000.0","31600.0","126400.0","0.0","0","0","","","","","","","",""
"OF","03108","Lip Matte Calm Sense (701)","79000.0","2","158000.0","31600.0","126400.0","0.0","0","0","","","","","","","",""
"OF","03175","IMP Eye Pencil Brown","4901.0","12","58812.0","5881.2","52930.8","0.0","0","0","","","","","","","",""
"OF","03181","IMP NAil Polis 088 Calour ","3875.0","12","46500.0","4650.0","41850.0","0.0","0","0","","","","","","","",""
"OF","03194","IMP Ninna Ricci Series (168) ","32918.0","1","32918.0","3291.8","29626.2","0.0","0","0","","","","","","","",""
"OF","03196","IMP Magnificent Pour  Femme (368)","32918.0","1","32918.0","3291.8","29626.2","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000274","7","2019","2019-01-28","-","RESTY","Padang","364450.8","0.0","0","","0","0","0","0","MA.190018"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02978","UV Lite Powdery Found 03 (RMH 512)","67500.0","2","135000.0","33750.0","101250.0","0.0","0","0","","","","","","","",""
"OF","03030","Brow Wow Dark Shade 01 ","65000.0","2","130000.0","26000.0","104000.0","0.0","0","0","","","","","","","",""
"OF","03208","EyeshadowThe Addiction Palette","199001.0","1","199001.0","39800.2","159200.8","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000275","7","2019","2019-01-28","-","DESI ERYON","Komplek Belimbing Kuranji
","84000.0","0.0","0","","0","0","0","0","MA.190019"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","03077","Eyelash Twiggy ","35000.0","1","35000.0","7000.0","28000.0","0.0","0","0","","","","","","","",""
"OF","03084","Eyelash Farrah ","35000.0","2","70000.0","14000.0","56000.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000276","7","2019","2019-01-28","0","BUK ULVI ( MERCU )","Padang","1000000.0","0.0","0","","0","0","0","0","MA.190020"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02411","Wheel Chair FS 804 L ","1000000.0","1","1000000.0","0.0","1000000.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000277","7","2019","2019-01-28","74.691.172.6-034.000","PT. BUMI SEPAKAT SELARAS","Taman Palem Lestari Roko Galaxy A1 OKP No.26 Cingkareng Jakarta Barat
","1.0285E7","1028500.0","0","","0","0","0","0","19.000158"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00172","FILM DI-HL 20X25","2700000.0","1","2700000.0","405000.0","2295000.0","229500.0","0","0","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","1","4600000.0","690000.0","3910000.0","391000.0","0","0","","","","","","","",""
"OF","01041","FILM DI-HL 35X43","4800000.0","1","4800000.0","720000.0","4080000.0","408000.0","0","0","","","","","","","",""
"FK","2","0","0000000000278","7","2019","2019-01-28","-","Novita Anggraini","-","310200.8","0.0","0","","0","0","0","0","MA.190021"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","01774","Examination Gloves Lightly Uk. M","35000.0","1","35000.0","0.0","35000.0","0.0","0","0","","","","","","","",""
"OF","03074","Lip Liner Vintage Rose ","55000.0","1","55000.0","11000.0","44000.0","0.0","0","0","","","","","","","",""
"OF","03080","Eyelash Brigitte ","35000.0","1","35000.0","7000.0","28000.0","0.0","0","0","","","","","","","",""
"OF","03107","Countore Banana Pallete","110000.0","1","110000.0","22000.0","88000.0","0.0","0","0","","","","","","","",""
"OF","03152","Mizzu Ace Of Spades 01","89001.0","1","89001.0","17800.2","71200.8","0.0","0","0","","","","","","","",""
"OF","03155","Eyeliner Gel Coral White","55000.0","1","55000.0","11000.0","44000.0","0.0","0","0","","","","","","","",""
"FK","2","0","0000000000279","7","2019","2019-01-28","00.001.246.8-202.000","RSAM BUKITTINGGI","JL. Dokter A Riva'i, No. 02 B, West Sumatera, Indonesia","6.39264E7","6392640.0","0","","0","0","0","0","19.000159"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00174","FILM RONTGEN 24X30 (SHRU)","1200000.0","5","6000000.0","0.0","6000000.0","600000.0","0","0","","","","","","","",""
"OF","00175","FILM RONTGEN 30X40 (SHRU)","1900000.0","5","9500000.0","0.0","9500000.0","950000.0","0","0","","","","","","","",""
